Cluster	clsy1234_r1	clsy1234_r2	col0_r1	col0_r2	nrpd1_3_r1	nrpd1_3_r2	NRPD1_3xF_Mut10_r1	NRPD1_3xF_Mut10_r2	NRPD1_3xF_Mut9_r1	NRPD1_3xF_Mut9_r2	NRPD1_3xF_WT2_r1	NRPD1_3xF_WT2_r2	WTSucSul_r1	WTSucSul_r2	nrpd1_49_r1	nrpd1_49_r2	nrpd1_50_r1	nrpd1_50_r2	nrpd1_51_r1	nrpd1_51_r2
merged_2_4473486	0	0.1	23.68	20.18	0.05	0.12	0.07	0.07	0.67	0.52	25	22.55	12.11	13.02	0.04	0.2	0.7	0.24	0	0.15
merged_2_1154381	0.49	0.71	206.1	189.91	0.31	0.55	0.69	0.22	0.96	0.72	112.19	109.75	103.49	97.23	1.42	1.07	1.59	2.47	0.23	0.1
merged_2_3110884	0.44	0.32	71.4	68.7	0.43	0.27	2.16	1.49	3	3.84	94.93	92.08	54.85	56.12	0.9	0.78	4.07	4.19	0.21	0.14
merged_1_780988	1.1	0	28.44	30.68	0.33	0.26	0.24	0	0.44	0	0.46	0.34	15.85	18.98	0	0	0.33	0	0	0.32
merged_3_17047853	0	0.1	34.31	32.13	0.08	0.06	0.17	0.05	0.1	0.15	30.47	31.64	18.97	23.51	0	0	0.23	0.28	0	0
merged_2_1278000	0.27	0	42.23	33.53	0.16	0.13	0	0.22	0.22	0.1	35.18	30.06	18.57	21.06	0	0.44	0	0.19	0	0
merged_1_8831231	0.12	0.15	33.91	31.91	0.11	0.32	0.21	0.33	0.66	0.89	28.21	23.06	23.56	21.85	0.06	0	0.91	1.26	0.12	0.07
merged_3_13296783	0	0	4.69	4.05	0	0	0.16	0	0	0.14	18.88	16.44	2.82	2.56	0	0	0	0.13	0.12	0.11
merged_2_2989931	0	0	3.32	2.88	0	0	0.04	0	0	0.2	6.79	6.66	2.38	2.17	0	0	0.1	0.31	0	0
merged_4_1017304	0.01	0.02	5.62	5.15	0.13	0	0.05	0.06	0.26	0.13	9.72	8.37	5.78	5.48	0.01	0.02	0.29	0.17	0	0.06
merged_1_17447938	0	0	13.02	11.42	0	0	0	0	0	0	24.08	29.27	4.86	13.01	0	0	1.11	0.66	0	0
merged_2_5566815	0	0	3.42	3.73	0	0	0	0	0.1	0.08	5.47	5.25	4.57	5.16	0.21	0.09	0.21	0.25	0	0
merged_4_6001350	0	0	6.55	4.94	0	0	0	0	0	0	6.02	4.48	3.2	2.99	0	0	0	0.21	0	0
merged_4_6214458	0	0.11	7	8.02	0	0	0.16	0.08	0.11	0.11	9.11	9.42	5.16	5.29	0	0	0.17	0.07	0.06	0
merged_1_25660025	0.22	0.18	36.05	38.95	0	0	0	0.37	1.35	1.46	58.56	47.95	38.91	41.34	0	0	1.46	0.96	0.15	0
merged_5_10837041	0.05	0.02	5.88	5.41	0.01	0	0.12	0.24	0.2	0.22	13.64	12.09	6.1	5.94	0.05	0.02	0.39	0.35	0.03	0.03
merged_3_10113894	0	0.22	33.57	32.08	0	0.06	0.18	0.17	0.27	0.31	35.8	34.99	34.77	35	0.07	0.33	0.16	0.39	0	0.08
merged_1_13563277	0.03	0.02	2.45	2.54	0	0.02	0.09	0.08	0.06	0.1	3.62	4.03	3.69	3.58	0	0	0.18	0.44	0	0
merged_3_12029831	0	0	1.94	2.94	0	0	0.09	0.08	0	0	5.73	5.87	1.8	2.39	0	0	0.23	0.14	0	0
merged_5_10473212	0.05	0.04	9.19	7.4	0.29	0	0.47	0.45	0.56	0.8	16.09	15.11	7.83	8.2	0.11	0.08	0.77	0.85	0.06	0
merged_5_2071412	0.1	0.29	21.46	17.47	0.06	0.24	0.22	0.38	0.5	0.75	27.8	22.83	13.86	12.44	0.11	0.08	0.18	0.29	0	0
merged_2_6378809	0.05	0.19	201.52	188.5	0.06	0.05	0.08	0.08	0.19	0.52	135.79	137.22	136.9	117.87	1.55	1.02	1.21	1.66	0.19	0.11
